1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
61.97594,167.8467,108.4753,331.7032,88.02905,98.04955,41.68332,120.6105,173.7452,150.6627,166.862,79.67534,60.13382,102.4877,271.1047,66.65169,147.683,197.6484,161.0803,149.8389,88.91154,201.177,84.3542,209.3149,98.17965,85.54755,187.5433,193.0286,121.8528,181.3872,120.1992,155.2602,75.3586,103.3858,105.9635,144.1593,137.634,125.9466
156.7348,97.84202,125.0499,112.0287,250.935,138.2684,216.6767,126.3381,71.31109,126.447,158.0294,97.92975,184.1248,72.63063,37.53904,232.931,256.1584,165.8456,221.8891,261.7427,65.89805,165.8204,310.3693,215.5256,120.855,125.3122,86.94883,114.2957,154.1108,246.0282,235.91,120.6252,183.2305,181.1213,208.0561,224.7058,143.5721,119.639
130.4534,264.994,206.3511,146.8719,210.5805,124.2102,220.8945,283.0361,351.9971,107.2981,229.6465,194.6088,145.4019,51.67341,252.0975,129.7249,98.41743,103.0696,256.2974,200.3751,44.26779,174.1738,265.0894,252.5608,97.92625,125.015,47.15585,122.6028,107.3491,142.5787,99.34599,119.2886,247.4268,129.7721,172.2079,160.6372,324.1335,114.0561
184.8301,66.72785,164.7472,150.4034,192.7518,93.60204,92.04303,89.83488,176.8563,62.90416,74.32903,191.0783,189.7773,26.63969,33.96164,217.4661,130.0724,256.159,160.9126,82.54952,87.22997,227.9485,115.0508,182.4909,292.1631,87.7376,294.1987,194.966,23.09648,102.7926,126.7048,231.0309,60.71217,114.3856,87.02845,240.9327,77.09195,44.81015
442.6589,279.5612,296.9283,309.3608,304.0025,249.2614,547.941,166.3564,74.89762,174.493,76.81856,126.5455,88.16855,134.5519,102.9893,124.4076,98.17599,273.3043,93.27495,85.08262,224.4892,232.5546,143.6443,73.32844,91.37974,110.6199,244.7539,227.2888,235.6144,181.9219,144.2589,78.7688,44.15356,115.28,73.88055,234.3424,242.5189,161.7248
85.91476,49.0333,29.88179,74.70669,16.23708,77.60953,289.8175,133.0896,83.76877,310.8181,147.2452,97.75005,108.7941,97.51411,28.00361,30.66807,127.3933,202.1319,96.46204,172.1703,68.77061,177.2001,24.00809,41.75247,204.2574,64.01949,54.46023,138.0458,182.1613,26.27924,196.7847,41.83137,153.9839,52.37148,103.6618,62.23211,275.2444,72.87342
201.4428,42.83895,63.72049,119.5435,57.39009,56.71224,269.2727,231.0234,78.23886,44.23818,43.52033,60.83861,6.143419,108.7595,166.5713,179.0641,142.7233,238.7232,207.3472,250.7783,65.05263,87.10123,59.9258,45.37463,129.266,32.49081,112.6907,159.3189,261.9681,164.4963,206.9624,100.4833,138.7996,210.2133,239.7524,21.01815,237.183,90.52628
90.97197,63.65873,233.9099,99.96124,235.4818,197.0676,200.9215,279.6858,135.2528,140.102,69.26141,125.8764,207.6724,165.1581,74.24275,135.6125,122.6259,188.4409,251.3183,103.9288,172.1382,61.51726,58.88306,189.4745,159.6801,82.49363,105.4875,161.0716,65.22549,129.1117,95.01501,151.8639,120.1857,157.0371,362.098,165.5841,162.0496,150.0402
95.89898,112.683,149.548,281.3401,245.3889,240.6801,150.4006,245.6359,207.5468,251.6761,440.4446,7.294357,56.35068,64.43318,56.41706,52.12194,88.00548,273.0638,100.6473,245.538,373.6477,27.85942,14.01672,163.8925,84.99489,110.409,245.3563,72.70609,64.09551,83.96246,10.75959,39.98316,104.4852,84.04002,166.0466,325.9338,106.3243,106.193
66.31459,209.537,236.096,310.4302,77.11362,246.65,134.3403,154.7107,217.3655,85.57529,88.68076,56.10921,72.87962,97.75121,124.0056,31.80691,184.1036,50.50575,29.31473,184.3183,143.502,69.27468,153.0219,47.7441,55.64574,60.92005,160.9768,41.54988,145.7268,128.1805,194.6089,283.1028,23.54833,238.7525,97.62388,387.4713,41.05134,120.6469
51.06303,7.79252,84.53074,23.29015,140.9472,33.72745,120.5868,102.3496,80.28093,106.4274,72.05078,78.27054,149.7896,20.32189,255.4422,89.33543,35.4722,64.93905,185.266,46.83088,37.38803,273.0885,170.1135,153.4621,115.2094,175.5762,51.79538,128.3817,12.9159,52.95282,131.6282,30.55131,63.18771,195.0912,81.72917,227.6723,82.04305,37.97762
4.473874,12.64085,62.49302,46.97797,35.23018,222.517,15.50635,48.96493,78.24483,22.79033,30.09176,47.75145,12.60637,37.7326,7.214681,92.55259,12.32549,52.08352,76.74551,36.40037,272.2917,58.02761,162.9127,226.6304,274.1277,65.86623,71.72295,28.54649,207.6566,43.43446,8.036246,96.20272,111.344,3.591233,4.238393,116.1009,133.0583,57.80244
5.312002,12.02708,13.82143,52.3875,159.3399,17.20011,110.7394,27.99179,13.83558,21.18822,84.4976,54.11545,54.03403,9.640693,30.01409,7.486766,9.12167,93.71022,106.3668,7.362092,25.42823,12.44257,10.85896,18.60165,15.21654,29.5815,22.30442,7.029558,8.475407,18.10731,10.37599,6.338214,164.4592,10.86207,7.571079,12.71595,68.42944,30.11401
6.349949,37.56797,21.05353,15.08129,28.08378,25.11417,22.15947,9.788519,16.78494,29.4683,16.01371,17.43151,11.89795,15.17248,15.917,27.30663,22.06362,27.87622,23.90378,56.67091,16.79541,14.71888,39.99293,16.02068,130.5746,10.51875,12.36014,73.52373,10.92695,32.32675,15.95108,10.12452,33.67751,48.01667,10.40505,27.29617,45.8678,11.98996
3.247583,4.479113,2.807601,2.664314,4.062047,8.363129,4.541885,5.281879,3.623083,3.795451,3.32557,3.000162,3.919788,3.053495,10.2406,2.785775,3.439992,5.285709,3.184259,2.128318,2.765307,2.09583,1.931923,1.945434,1.925212,5.508004,2.943199,1.995079,2.459488,2.340032,2.376415,4.594712,1.879399,1.866655,2.752776,2.12131,1.887507,2.012559
0.3873742,0.4697523,0.289464,0.2485817,0.3797648,0.357741,0.5767709,0.5262535,0.3294415,0.279001,0.3372747,0.3466317,0.2712358,0.3308656,0.5179942,0.3514016,0.3395219,0.4903017,0.3131103,0.2238975,0.2695723,1.279063,0.214095,0.2242913,0.2127987,0.2043166,0.7365574,0.25196,0.2471595,0.2403374,0.2936559,0.2612326,0.234609,0.3517713,0.2314488,0.2276281,0.5877008,0.2380438
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.123319,0.9566038,2.287048,1.418045,1.736254,1.904724,1.06859,1.096875,1.086401,0.9081506,1.302556,1.317364,1.053822,1.038965,1.13713,0.9716558,4.10609,1.021966,1.08611,0.9604026,0.8649406,1.196134,0.9965271,1.056599,0.8522164,1.444084,0.9292071,0.8303317,0.8508552,1.380327,0.8216859,0.8089321,0.9881852,0.9770034,1.246648,1.308756,1.21497,3.581132
0.6786673,0.8122236,2.000155,1.182894,1.414313,1.648958,0.8734366,0.9251871,0.8920681,0.7380279,1.001397,1.070899,0.9348193,0.9954358,0.9087439,0.9542925,2.934162,0.8603762,0.914736,0.8332111,1.612896,0.7253014,0.9329899,0.8926251,0.6929968,1.170927,0.7912824,0.6743606,0.699783,0.9613694,0.6805981,0.6629425,0.7477355,1.132187,1.017873,0.9907594,0.9343258,1.869034
1.021845,1.290528,3.650005,1.495743,2.246911,3.02705,1.390589,1.652411,1.72647,1.167985,1.823899,1.680814,1.35908,1.463463,1.64828,1.353172,2.057613,1.363916,1.496887,1.247494,2.258166,1.281715,4.500613,1.31263,1.074169,1.816914,1.167233,1.045352,1.126879,1.552797,1.041227,1.024234,1.063493,1.078255,1.349547,1.647547,1.275709,2.526304
